name,bm_unit,lat,long
Kirk Hill Wind Farm,KHLLW-1,,
Hartlepool Nuclear Power Station,HRTL-1,54.635,-1.18083
Hartlepool Nuclear Power Station,HRTL-2,54.635,-1.18083
Braes of Doune Wind Farm,BRDUW-1,56.2761,-4.0625
Ormonde Wind Farm,OMNDO-1,54.1,-3.4
Hunterston B nuclear power station,HUNBD-1,55.7221,-4.89009
Sloy Power Station,SLOY-1,56.251204,-4.711551
Sloy Power Station,SLOY-2,56.251204,-4.711551
Sloy Power Station,SLOY-3,56.251204,-4.711551
Sloy Power Station,SLOY-4,56.251204,-4.711551
Sloy Power Station,SLOYD-1,56.251204,-4.711551
Greater Gabbard wind farm,GRGBW-1,51.88,1.94
Greater Gabbard wind farm,GRGBW-2,51.88,1.94
Greater Gabbard wind farm,GRGBW-3,51.88,1.94
London Array,LARYO-1,51.6439,1.55361
London Array,LARYO-2,51.6439,1.55361
London Array,LARYO-3,51.6439,1.55361
London Array,LARYO-4,51.6439,1.55361
Cwm Dyli,CWMD-1,53.0659,-4.0115
Damhead Creek power station,DAMC-1,51.4254,0.6001
Derwent Power Station,DERW-1,52.9064,-1.4007
Dudgeon Offshore Wind Farm,DDGNO-1,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-2,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-3,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-4,53.249,1.39
East–West Interconnector,IED-EWIC1,53.5305,-4.8257
East–West Interconnector,IEG-EWIC1,53.5305,-4.8257
Enfield Power Station,EECL-1,51.6628,-0.0227778
Farr Wind Farm,FAARW-1,57.325,-4.09417
Farr Wind Farm,FAARW-2,57.325,-4.09417
Ffestiniog Power Station,FFES-1,52.9808,-3.96889
Ffestiniog Power Station,FFES-2,52.9808,-3.96889
Ffestiniog Power Station,FFES-3,52.9808,-3.96889
Ffestiniog Power Station,FFES-4,52.9808,-3.96889
Glanford Brigg Power Station,BRGG-1,53.5406,-0.503635
Glendoe Hydro Scheme,GLNDO-1,57.093,-4.556
Great Yarmouth Power Station,GYAR-1,52.5839,1.73326
Gunfleet Sands Offshore Wind Farm,GNFSW-1,51.7394,1.17444
Gunfleet Sands Offshore Wind Farm,GNFSW-2,51.7394,1.17444
Hadyard Hill Wind Farm,HADHW-1,55.2458,-4.72306
Immingham Power Station,HUMR-1,53.6383,-0.23328
Keadby Power Station,KEAD-1,53.5944,-0.750442
Keadby Power Station,KEADGT-3,53.5944,-0.750442
Langage Power Station,LAGA-1,50.3884,-4.01173
Lincs Wind Farm,LNCSO-1,53.1833,0.483333
Lincs Wind Farm,LNCSO-2,53.1833,0.483333
Little Barford Power Station,LBAR-1,52.2044,-0.268889
Little Barford Power Station,LBAR-1G,52.2044,-0.268889
Lochaber hydroelectric scheme,LCSMH-1,56.829,-5.073
Hywind Scotland,HYWDW-1,57.48333333,-1.35
Pen y Cymoedd,PNYCW-1,51.711,-3.562
