,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
100,Evermore Renewable Energy (CHP) / Lisahally Power Station,Operational,Operational,-7.251206148132431,55.03462615322128,Biomass (dedicated),15.00,Co. Derry / Londonderry,Northern Ireland,Northern Ireland
101,Ironbridge Power Station,Decommissioned,Decommissioned,-2.5121655379611862,52.63069259295462,Biomass (dedicated),740.00,Shropshire,West Midlands,England
102,Kronospan Biomass,Abandoned,Abandoned,-3.0640010963763555,52.94196409121893,Biomass (dedicated),9.10,Clwyd,Wales,Wales
103,Markley Group (Premiere Kitckens) Biomass,Operational,Operational,-2.2820428698467468,51.81014798498943,Biomass (dedicated),2.10,Gloucestershire,South West,England
104,Clay Cross CHP,Abandoned,Abandoned,-1.4107265084895746,53.172328177910344,Biomass (dedicated),8.00,Derbyshire,East Midlands,England
105,Heathrow Airport Biomass CHP,Operational,Operational,-0.45948018300038274,51.45921529365274,Biomass (dedicated),1.80,London,London,England
106,Bentwaters CHP,Operational,Operational,1.4303464984967034,52.12994331650322,Biomass (dedicated),4.60,Suffolk,Eastern,England
107,SAICA Paper Mill,Operational,Operational,-2.4195173760440176,53.42510804372934,Biomass (dedicated),41.60,Greater Manchester,North West,England
108,Plymouth Energy Park Biomass CHP,Application Withdrawn,Planning Application Withdrawn,-4.188817582252978,50.42170699381768,Biomass (dedicated),10.80,Devon,South West,England
109,PONTRILAS BIOMASS POWER PLANT,Abandoned,Abandoned,-2.8685860173741595,51.95204327375782,Biomass (dedicated),10.00,Hereford and Worcester,West Midlands,England
110,Hudson Dock East Biomass,Abandoned,Abandoned,-1.3555565872163158,54.90831761278426,Biomass (dedicated),9.00,Tyne and Wear,North East,England
111,Tenax Road - Renewable Energy Biomass Plant,Abandoned,Abandoned,-2.3232714816093054,53.475383698205675,Biomass (dedicated),3.00,Greater Manchester,North West,England
112,Shoreham Renewable Energy Generation project,Abandoned,Abandoned,-0.2205094807810456,50.829195138246185,Biomass (dedicated),32.00,West Sussex,South East,England
113,Former Parkside Colliery,Abandoned,Abandoned,-2.601882295072671,53.445604037642845,Biomass (dedicated),1.00,Merseyside,North West,England
114,Eco Composting,Operational,Operational,-1.8569003887279454,50.78597534562271,Biomass (dedicated),3.20,Dorset,South West,England
115,Rothes Bio-Plant,Operational,Operational,-3.2078005980231215,57.52641087294761,Biomass (dedicated),8.30,Grampian,Scotland,Scotland
116,Port Talbot Renewable Energy Plant,Abandoned,Abandoned,-3.7868175135523536,51.5866418900971,Biomass (dedicated),350.00,West Glamorgan,Wales,Wales
117,Royal Portbury Docks Renewable Energy Plant,Abandoned,Abandoned,-2.753261472265002,51.48035346328509,Biomass (dedicated),150.00,Avon,South West,England
118,Beckton Gas Pressure Reduction Station,Operational,Operational,0.08850837908613798,51.51820685966397,Biomass (dedicated),19.00,London,London,England
