,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
95,E_CWMD-1,Cwm Dyli,53.04255,-4.03337,Large Hydro,9.9,Gwynedd,Wales,Operational
96,T_DALQW-1,Dalquhandy Windfarm,55.18061,-4.90958,Wind Onshore,45.0,Strathclyde,Scotland,Planning Permission Expired
97,E_DALSW-1,Dalswinton,55.1841,-3.65056,Wind Onshore,30.0,Dumfries and Galloway,Scotland,Operational
98,T_DRSLW-1,Dersalloch,55.30426,-4.48822,Wind Onshore,69.0,Strathclyde,Scotland,Operational
99,T_DINO-4,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
100,T_DINO-5,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
101,T_DINO-2,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
102,T_DINO-1,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
103,T_DINO-6,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
104,T_DINO-3,Dinorwig,53.11861,-4.11389,Pumped Storage Hydroelectricity,1728.0,Conwy,Wales,Operational
105,T_DBAWO-2,Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,Wind Offshore,2400.0,Offshore,Offshore,Under Construction
106,T_DBAWO-3,Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,Wind Offshore,2400.0,Offshore,Offshore,Under Construction
107,T_DBAWO-1,Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,Wind Offshore,2400.0,Offshore,Offshore,Under Construction
108,T_DBAWO-4,Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,Wind Offshore,2400.0,Offshore,Offshore,Under Construction
109,T_DBAWO-5,Dogger Bank A & B (was Creyke Beck A & B),55.96734,1.66792,Wind Offshore,2400.0,Offshore,Offshore,Under Construction
110,T_DOREW-2,Dorenell Wind Farm (Previously Site A and B Scaut Hill),57.3509,-3.13168,Wind Onshore,177.0,Grampian,Scotland,Operational
111,T_DOREW-1,Dorenell Wind Farm (Previously Site A and B Scaut Hill),57.3509,-3.13168,Wind Onshore,177.0,Grampian,Scotland,Operational
112,2__JSTAT002,Dorking Battery Energy Storage System,51.23044,-0.35481,Battery,6.0,Surrey,South East,Operational
113,T_DOUGW-1,Douglas West Wind Farm (extension),55.58736,-3.8901,Wind Onshore,78.0,Strathclyde,Scotland,Awaiting Construction
114,T_DOUGW-1,Douglas West Wind Farm (extension),55.58736,-3.8901,Battery,20.0,Strathclyde,Scotland,Application Submitted
115,T_DOUGW-1,Douglas West Wind Farm (extension),55.58736,-3.8901,Battery,20.0,Strathclyde,Scotland,Awaiting Construction
116,T_DALQW-1,Douglas West and Dalquhandy Renewable Energy Project,55.58736,-3.8901,Wind Onshore,49.0,South Lanarkshire,Scotland,Under Construction
117,T_DOUGW-1,Douglas West and Dalquhandy Renewable Energy Project,55.58736,-3.8901,Wind Onshore,49.0,South Lanarkshire,Scotland,Under Construction
118,E_DBFRM-1,Down Barn Farm,51.19357,-1.68555,Solar Photovoltaics,49.9,Wiltshire,South West,Awaiting Construction
119,T_DRAXX-1,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
120,T_DRAXX-5,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
121,T_DRAXX-3,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
122,T_DRAXX-2,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
123,T_DRAXX-6,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
