,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
203,Gwynt y Môr Wind Farm,GYMRO-28,53.45,-3.58333333,,,,,,,
204,Walney Wind Farm,WLNYO-2,54.044,-3.522,,,,,,,
205,Walney Wind Farm,WLNYO-3,54.044,-3.522,,,,,,,
206,Walney Wind Farm,WLNYO-4,54.044,-3.522,,,,,,,
207,Walney Wind Farm,WLNYW-1,54.044,-3.522,,,,,,,
208,Torness Nuclear Power Station,TORN-1,55.968,-2.40908,,,,,,,
209,Torness Nuclear Power Station,TORN-2,55.968,-2.40908,,,,,,,
210,Torness Nuclear Power Station,TORND-1,55.968,-2.40908,,,,,,,
211,Hinkley Point B Nuclear Power Station,HINB-7,51.2088898,-3.1280887,,,,,,,
212,Hinkley Point B Nuclear Power Station,HINB-8,51.2088898,-3.1280887,,,,,,,
213,Hinkley Point B Nuclear Power Station,HINBD-1,51.2088898,-3.1280887,,,,,,,
214,Thanet Wind Farm,THNTO-1,51.4306,1.6331,Thanet ,Wind Offshore,51.42993205828250,1.6334113898517600,300.00,exact,y
215,Thanet Wind Farm,THNTO-2,51.4306,1.6331,Thanet ,Wind Offshore,51.42993205828250,1.6334113898517600,300.00,exact,y
216,Drax power station,DRAXD-2,53.7358,-0.996389,,,,,,,
217,Drax power station,DRAXX-1,53.7358,-0.996389,,,,,,,
218,Drax power station,DRAXX-2,53.7358,-0.996389,,,,,,,
219,Drax power station,DRAXX-3,53.7358,-0.996389,,,,,,,
220,Drax power station,DRAXX-4,53.7358,-0.996389,,,,,,,
221,Drax power station,DRAXX-5,53.7358,-0.996389,,,,,,,
222,Drax power station,DRAXX-6,53.7358,-0.996389,,,,,,,
223,Joint European Torus,CULJD-1,51.659166666,-1.226388888,,,,,,,
224,Joint European Torus,CULJD-1,51.75484,-1.237215,,,,,,,
225,Robin Rigg Wind Farm,RREW-1,54.75,-3.71667,,,,,,,
226,Robin Rigg Wind Farm,RRWW-1,54.75,-3.71667,,,,,,,
227,Wylfa Nuclear Power Station,WYLF-1,53.4167,-4.48333,,,,,,,
228,Wylfa Nuclear Power Station,WYLF-2,53.4167,-4.48333,,,,,,,
229,Wylfa Nuclear Power Station,WYLF-3,53.4167,-4.48333,,,,,,,
230,Wylfa Nuclear Power Station,WYLF-4,53.4167,-4.48333,,,,,,,
231,Barrow Offshore Wind Farm,BOWLW-1,53.9833,-3.28333,Barrow ,Wind Offshore,53.99146185098490,-3.298284394348810,90.00,exact,y
232,Isle of Man to England Interconnector,MANXENR-1,54.0,-3.83333,,,,,,,
233,Burbo Bank Offshore Wind Farm,BRBEO-1,53.4833,-3.16667,Burbo Bank,Wind Offshore,53.48818301652090,-3.1849225421466500,90.00,exact,y
234,Burbo Bank Offshore Wind Farm,BURBW-1,53.4833,-3.16667,Burbo Bank,Wind Offshore,53.48818301652090,-3.1849225421466500,90.00,exact,y
235,Pembroke B Power Station,PEMB-11,51.6831,-4.98842,,,,,,,
236,Pembroke B Power Station,PEMB-21,51.6831,-4.98842,,,,,,,
237,Pembroke B Power Station,PEMB-31,51.6831,-4.98842,,,,,,,
238,Pembroke B Power Station,PEMB-41,51.6831,-4.98842,,,,,,,
239,Pembroke B Power Station,PEMB-51,51.6831,-4.98842,,,,,,,
240,Race Bank Wind Farm,RCBKO-1,53.275,0.83333333,,,,,,,
241,Race Bank Wind Farm,RCBKO-2,53.275,0.83333333,,,,,,,
242,Moray East Offshore Wind Farm,MOWEO-1,58.16708,-2.69852,Moray East,Wind Offshore,57.96732452349120,-2.790536894837340,950.00,exact,y
243,Moray East Offshore Wind Farm,MOWEO-2,58.16708,-2.69852,Moray East,Wind Offshore,57.96732452349120,-2.790536894837340,950.00,exact,y
244,Moray East Offshore Wind Farm,MOWEO-3,58.16708,-2.69852,Moray East,Wind Offshore,57.96732452349120,-2.790536894837340,950.00,exact,y
245,Medway Power Station,MEDP-1,51.44,0.69,,,,,,,
246,Whitelee Wind Farm,WHILW-1,55.672777777,-4.285555555,Whitelee,Wind Onshore,55.68120687788660,-4.279060578358630,322.00,exact,y
247,Whitelee Wind Farm,WHILW-2,55.672777777,-4.285555555,Whitelee,Wind Onshore,55.68120687788660,-4.279060578358630,322.00,exact,y
248,Viking Wind Farm,VKNGW-1,60.286611111,-1.261222222,,,,,,,
249,Viking Wind Farm,VKNGW-2,60.286611111,-1.261222222,,,,,,,
250,Viking Wind Farm,VKNGW-3,60.286611111,-1.261222222,,,,,,,
251,Viking Wind Farm,VKNGW-4,60.286611111,-1.261222222,,,,,,,
252,Affric-Beauly hydro-electric power scheme,CAS-BEU01,57.325,-4.794,,,,,,,
253,Anglesey Aluminium,ANGLD-1,,,,,,,,,
254,Arecleoch Wind Farm,ARCHW-1,55.0533,-4.88222,,,,,,,
255,Beatrice Wind Farm,BEATO-1,58.13,-3.07,Beatrice,Wind Offshore,58.08822926265910,-2.9501572056563100,588.00,exact,y
256,Beatrice Wind Farm,BEATO-2,58.13,-3.07,Beatrice,Wind Offshore,58.08822926265910,-2.9501572056563100,588.00,exact,y
257,Beatrice Wind Farm,BEATO-3,58.13,-3.07,Beatrice,Wind Offshore,58.08822926265910,-2.9501572056563100,588.00,exact,y
258,Beatrice Wind Farm,BEATO-4,58.13,-3.07,Beatrice,Wind Offshore,58.08822926265910,-2.9501572056563100,588.00,exact,y
259,Beinn an Tuirc Wind Farm,BTUIW-1,55.5714,-5.57611,Beinn an Tuirc,Wind Onshore,55.573170618122000,-5.587352693566460,29.70,exact,y
260,Beinn an Tuirc Wind Farm,BTUIW-2,55.5714,-5.57611,Beinn an Tuirc,Wind Onshore,55.573170618122000,-5.587352693566460,29.70,exact,y
261,Beinn an Tuirc Wind Farm,BTUIW-3,55.5714,-5.57611,Beinn an Tuirc,Wind Onshore,55.573170618122000,-5.587352693566460,29.70,exact,y
262,Black Law Wind Farm,BLLA-1,55.7669,-3.73889,Black Law,Wind Onshore,55.76218897974120,-3.762566605098420,124.00,exact,y
263,Black Law Wind Farm,BLLA-2,55.7669,-3.73889,Black Law,Wind Onshore,55.76218897974120,-3.762566605098420,124.00,exact,y
264,Carrington Power Station,CARR-1,53.4358,-2.41089,,,,,,,
265,Carrington Power Station,CARR-2,53.4358,-2.41089,,,,,,,
266,Clyde Wind Farm,CLDCW-1,55.4672,-3.65444,,,,,,,
267,Clyde Wind Farm,CLDNW-1,55.4672,-3.65444,,,,,,,
268,Clyde Wind Farm,CLDSW-1,55.4672,-3.65444,,,,,,,
269,Connah's Quay Power Station,CNQPS-1,53.2322,-3.0813,,,,,,,
270,Connah's Quay Power Station,CNQPS-2,53.2322,-3.0813,,,,,,,
271,Connah's Quay Power Station,CNQPS-3,53.2322,-3.0813,,,,,,,
272,Connah's Quay Power Station,CNQPS-4,53.2322,-3.0813,,,,,,,
273,Corby Power Station,CORB-1,52.5109,-0.68139,,,,,,,
274,Coryton Power Station,COSO-1,51.512,0.508,,,,,,,
275,Cowes Power Station,COWE1,50.7459,-1.2864,,,,,,,
276,Cowes Power Station,COWE2,50.7459,-1.2864,,,,,,,
277,Crystal Rig Wind Farm,CRYRW-2,55.9,-2.55,,,,,,,
278,Crystal Rig Wind Farm,CRYRW-3,55.9,-2.55,,,,,,,
279,Humber Gateway Wind Farm,HMGTO-1,53.644,0.293,,,,,,,
280,Humber Gateway Wind Farm,HMGTO-2,53.644,0.293,,,,,,,
281,Neart na Gaoithe Offshore Wind Farm,NNGAO-1,56.26777778,-2.32083333,Neart na Gaoithe,Wind Offshore,56.26999980237450,-2.2500011715258400,450.00,exact,y
282,East Anglia ONE,EAAO-1,52.66,2.3,,,,,,,
283,East Anglia ONE,EAAO-2,52.66,2.3,,,,,,,
284,European Offshore Wind Deployment Centre,ABRBO-1,57.2167,-1.98333,,,,,,,
285,Fasnakyle Power Station,FASN-1,57.326083333,-4.794,,,,,,,
286,Fasnakyle Power Station,FASN-4,57.326083333,-4.794,,,,,,,
287,Fasnakyle Power Station,FASN2,57.326083333,-4.794,,,,,,,
288,Fasnakyle Power Station,FASN3,57.326083333,-4.794,,,,,,,
