name,bm_unit,lat,long
Ratcliffe-on-Soar power station,RATS-1,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-2,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-3,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-4,52.8653,-1.255
Ratcliffe-on-Soar power station,RATSGT-2,52.8653,-1.255
Ratcliffe-on-Soar power station,RATSGT-4,52.8653,-1.255
Rheidol Power Station,RHEI-4,52.396,-3.9
Rocksavage Power Station,ROCK-1,53.3154,-2.72541
Rye House power station,RYHPS-1,51.7625,0.01077
Seabank Power Station,SEAB-1,51.54,-2.669
Seabank Power Station,SEAB-2,51.54,-2.669
Shoreham Power Station,SHOS-1,50.8294,-0.230556
St Fergus Gas Terminal,SFERD-1,57.5706,-1.83803
St Fergus Gas Terminal,SFGSD-1,57.5706,-1.83803
St Fergus Gas Terminal,SFGSD-2,57.5706,-1.83803
Staythorpe Power Station,STAY-1,53.0748,-0.85573
Staythorpe Power Station,STAY-2,53.0748,-0.85573
Staythorpe Power Station,STAY-3,53.0748,-0.85573
Staythorpe Power Station,STAY-4,53.0748,-0.85573
Sutton Bridge Power Station,SUTB-1,52.7572,0.19316
Taylor's Lane Power Station,TAYL2G,51.546,-0.2575
Taylor's Lane Power Station,TAYL3G,51.546,-0.2575
Teesside power station,TSREP-1,54.5768,-1.12042
Westermost Rough Wind Farm,WTMSO-1,53.805,0.149
Wilton power stations,WILCT-1,54.5894,-1.1185
Salt End Power Station,SCCL-1,53.7355,-0.2431
Salt End Power Station,SCCL-2,53.7355,-0.2431
Salt End Power Station,SCCL-3,53.7355,-0.2431
Galloper Offshore Wind Farm,GAOFO-1,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-2,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-3,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-4,51.771111111,1.992222222
Hornsea One Offshore Wind Farm,HOWAO-1,53.885,1.791
Hornsea One Offshore Wind Farm,HOWAO-2,53.885,1.791
Hornsea One Offshore Wind Farm,HOWAO-3,53.885,1.791
Grain Power Station,GRAI-6,51.443055555,0.708055555
Grain Power Station,GRAI-7,51.443055555,0.708055555
Grain Power Station,GRAI-8,51.443055555,0.708055555
Grain Power Station,GRAI1G,51.443055555,0.708055555
Grain Power Station,GRAI4G,51.443055555,0.708055555
King's Lynn Power Station,KLYN-A-1,52.7273,0.380117
Dogger Bank A Wind Farm,DBAWO-1,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-2,54.7489,1.9301
Tullo Wind Farm,TULWW-1,,
Tullo Wind Farm,TULWW-2,,
Whitelee Battery,WHLWB-1,55.6954,-4.17331
Claredown Battery Storage,ZEN02A,,
Roundponds Battery,AG-HEL01H,,
Kemsley Battery Storage,KEMB-1,,
Byers Brae Battery Storage,NFSE02,,
Minety Battery Storage,AG-HLIM03,,
Minety Battery Storage,AG-HLIM04,,
Minety South Battery Storage,AG-HSTK01,,
Minety South Battery Storage,AG-HSTK02,,
Newlands Farm Battery Storage,AG-HLIM01,,
Newlands Farm Battery Storage,AG-HLIM02,,
Tynemouth Energy Storage System,FFSE01,,
Aldwarke Steelworks,RHAMD-1,53.452,-1.319
Derby Gas Power Station,DERBY-2,,
Exeter Gas Power Station,EXETR-2,,
Heartlands Power Station,FDUNT-1,,
Thornhill Gas Power Station,THRNL-1,53.677222222,-1.654722222
Hallen Battery Storage,AG-LLIM01,,
Water Lane STOR,WTRLN-1,,
Letchworth STOR,LCHWT-1,,
Trafalgar Park Gas Peaking Plant,TRFPK-1,,
Lascar Battery Storage,AG-GEDF02,,
Hulley Road Battery Storage,AG-GEDF01,,
Chickerell Power Station,CHICK-1,,
Pogbie Wind Farm,PGBIW-1,,
Burghfield Power Station,BURGH-1,,
Keadby 2 Power Station,KEAD-2,53.5952,-0.7522
JG Pears Newark CHP,JGPR-1,,
Wishaw Battery,WISHB-1,55.76927,-3.93867
Wishaw Battery,WISHD-1,55.76927,-3.93867
Blackhillock Battery,BLHLB-1,,
Blackhillock Battery,BLHLB-2,,
Blackhillock Battery,BLHLB-3,,
Blackhillock Battery,BLHLB-4,,
Kincardine Offshore Wind Farm,KINCW-1,57.0046,-1.8596
Solutia District Energy,SOLUU-1,,
Sevington District Energy,SEVIU-1,,
Sudmeadow Road Power Station,SUDME-1,,
Moorfield Drive Power Station,MORFL-1,,
Rake Lane Power Station,RAKE-1,,
Down Barn Farm Power Station,DBFRM-1,50.861673,-1.153879
Goose House Lane Power Station,GOSHS-1,,
Bridgwater Power Station,BRIDU-1,,
Coupar Battery Storage,CUPAB-1,,
Chatterley Power Station,CHTRY-1,,
Fideoak Mill Battery Storage,AG-LLIM02,51.018497,-3.157186
Bispham Flexible Generation,BSPHM-1,,
Brownieleys Wind Farm,BRNLW-1,,
Broadditch Battery,BROAB-1,,
Middlewich Power Station,MDLWH-1,53.18726,-2.42461
Gowerton East Power Station,ALCOA-1,,
Chapel Farm Battery Storage,CHAPB-1,51.9266,-0.4963
Tollgate Battery Storage,TOLLB-1,,
Dogger Bank A & B Wind Farm Cluster,DBAWO-1,,
Dogger Bank A & B Wind Farm Cluster,DBAWO-2,,
Dollymans Battery Storage,DOLLB-1,,
Rise Carr Battery Storage,RSCRB-1,,
West Gourdie Battery,AG-PFLX01,,
Farnham Battery Storage,FARNB-1,,
Coventry Battery Storage,COVNB-1,,
Fordtown Battery Storage,AG-HEL0CP,,
Clay Tye Battery,CLAYB-1,,
Clay Tye Battery,CLAYB-2,,
Little Raith Battery Storage,LITRB-1,,
Newton Wood Farm Battery Storage,NEWTB-1,,
Jamesfield Battery Storage,JAMBB-1,,
Ilmer Lane Battery Storage,ILMEB-1,,
Carnegie Road Battery,CRSSB-1,,
