,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
266,Clyde Wind Farm,CLDCW-1,55.4672,-3.65444,Clyde Wind Farm,Wind Onshore,55.44163408234000,-3.5427342376805200,350.00,exact,y
267,Clyde Wind Farm,CLDNW-1,55.4672,-3.65444,Clyde Wind Farm,Wind Onshore,55.44163408234000,-3.5427342376805200,350.00,exact,y
268,Clyde Wind Farm,CLDSW-1,55.4672,-3.65444,Clyde Wind Farm,Wind Onshore,55.44163408234000,-3.5427342376805200,350.00,exact,y
269,Connah's Quay Power Station,CNQPS-1,53.2322,-3.0813,,,,,,,
270,Connah's Quay Power Station,CNQPS-2,53.2322,-3.0813,,,,,,,
271,Connah's Quay Power Station,CNQPS-3,53.2322,-3.0813,,,,,,,
272,Connah's Quay Power Station,CNQPS-4,53.2322,-3.0813,,,,,,,
273,Corby Power Station,CORB-1,52.5109,-0.68139,,,,,,,
274,Coryton Power Station,COSO-1,51.512,0.508,,,,,,,
275,Cowes Power Station,COWE1,50.7459,-1.2864,,,,,,,
276,Cowes Power Station,COWE2,50.7459,-1.2864,,,,,,,
277,Crystal Rig Wind Farm,CRYRW-2,55.9,-2.55,,,,,,,
278,Crystal Rig Wind Farm,CRYRW-3,55.9,-2.55,,,,,,,
279,Humber Gateway Wind Farm,HMGTO-1,53.644,0.293,,,,,,,
280,Humber Gateway Wind Farm,HMGTO-2,53.644,0.293,,,,,,,
282,East Anglia ONE,EAAO-1,52.66,2.3,,,,,,,
283,East Anglia ONE,EAAO-2,52.66,2.3,,,,,,,
284,European Offshore Wind Deployment Centre,ABRBO-1,57.2167,-1.98333,,,,,,,
285,Fasnakyle Power Station,FASN-1,57.326083333,-4.794,,,,,,,
286,Fasnakyle Power Station,FASN-4,57.326083333,-4.794,,,,,,,
287,Fasnakyle Power Station,FASN2,57.326083333,-4.794,,,,,,,
288,Fasnakyle Power Station,FASN3,57.326083333,-4.794,,,,,,,
289,Kinlochleven Power Station,KNLCV-1,56.7129,-4.95803,,,,,,,
290,Errochty Dam,ERRO-1,56.7644,-4.10523,,,,,,,
291,Errochty Dam,ERRO-2,56.7644,-4.10523,,,,,,,
292,Errochty Dam,ERRO-3,56.7644,-4.10523,,,,,,,
293,Marchwood Power Station,MRWD-1,50.897777777,-1.438888888,,,,,,,
294,Killingholme B power station,KILLPG-1,53.65419,-0.25518,,,,,,,
295,Killingholme B power station,KILLPG-2,53.65419,-0.25518,,,,,,,
296,Kilgallioch Wind Farm,KLGLW-1,55.05,-4.76527778,Kilgallioch wind farm,Wind Onshore,54.98845275791270,-4.801715850373400,239.00,exact,y
297,Thame Road Battery Storage,THMRB-1,,,,,,,,,
298,Peterborough STOR,PETDG-1,52.575703,-0.2037977,,,,,,,
299,Brigg STOR,BRGDG-1,53.540993,-0.508006,,,,,,,
301,Cleve Hill Solar Park,CLVHS-1,51.3344,0.9429,,,,,,,
302,Cleve Hill Solar Park,CLVHS-2,51.3344,0.9429,,,,,,,
303,Mid Hill Wind Farm,2__PSTAT002,,,,,,,,,
304,Dogger Bank B Wind Farm,DBBWO-2,54.9866,1.6622,,,,,,,
305,Dogger Bank B Wind Farm,DBBWO-3,54.9866,1.6622,,,,,,,
306,Dogger Bank B Wind Farm,DBBWO-4,54.9866,1.6622,,,,,,,
307,Dogger Bank B Wind Farm,DBBWO-5,54.9866,1.6622,,,,,,,
308,Dogger Bank B Wind Farm,DBBWO-1,54.9866,1.6622,,,,,,,
309,Haghshaw Hill Wind Farm,HAHAW-1,,,,,,,,,
