repd_site_name,repd_lat,repd_long,total_generated,total_curtailment,total_pn,capacity,bm_unit,below_b6,curtailment_ratio
Bhlaraidh (previously Balmacaan),57.21915,-4.58191,134.87829,-78.64889,213.52718,110.0,T_BHLAW-1,false,0.36833198471501377
Clashindarroch,57.37103,-2.85794,59.63718,-14.86548,74.50265,129.0,E_CLDRW-1,false,0.19952954693557878
Ewe Hill,55.10709,-3.33387,62.65198,-9.48852,72.1405,13.8,T_EWHLW-1,false,0.13152833706447833
Mid Hill I,56.96877,-2.48616,69.30631,-22.56095,91.86677,57.5,2__PSTAT002,false,0.24558335946719362
Fetteresso Wind Farm (Mid Hill 3),56.96441,-2.34737,69.30631,-22.56095,91.86677,42.0,2__PSTAT002,false,0.24558335946719362
Hornsea 1 - Heron & Njord,53.68154,1.42074,3729.8486199999998,-0.69769,3714.84701,1218.0,"T_HOWAO-1,T_HOWAO-3,T_HOWAO-2",true,0.00018781123371215227
Dorenell Wind Farm (Previously Site A and B Scaut Hill),57.3509,-3.13168,226.17840999999999,-241.0622,467.23456,177.0,"T_DOREW-1,T_DOREW-2",false,0.5159340096759966
Camster,58.40865,-3.27151,116.05531,-3.35291,119.40822,50.0,2__PEDGE003,false,0.028079390179336063
Goole Fields ll Wind Farm,53.67678,-0.8868,55.16263,0.0,55.16263,34.9,E_GFLDW-1,true,-0.0
Westermost Rough A,53.09773,0.56148,634.55715,0.0,634.55715,210.0,T_WTMSO-1,true,-0.0
Crystal Rig Wind Farm Phase IV,55.90308,-2.52776,258.19401999999997,-35.59581,293.78723,48.0,"T_CRYRW-2,T_CRYRW-3",false,0.12116186942502571
Ormonde Offshore,54.08887,-3.43859,324.43874,-2.43904,326.87778,150.0,T_OMNDW-1,true,0.007461626789070827
Beinn Tharsuinn Extension (Beinn nan Oighrean),57.78823,-4.24815,38.24528,-14.26872,52.514,4.6,E_BETHW-1,false,0.2717126861408386
Whitelee Windfarm Extension Phase 1,55.67715,-4.28678,287.08187,-17.36414,304.44602,108.0,T_WHILW-2,false,0.057035201182790964
Millennium Extension,57.1502,-4.89117,107.27532,-0.05057,107.32583,10.0,T_MILWW-1,false,0.0004711820071645381
Dalswinton,55.1841,-3.65056,47.13302,-2.77428,49.90713,30.0,E_DALSW-1,false,0.05558885073134841
Clyde Wind Farm,55.44163,-3.54273,1030.74928,-19.89962,1050.6489000000001,350.0,"T_CLDNW-1,T_CLDCW-1,T_CLDSW-1",false,0.018940313933608073
Coire Na Cloiche Wind Farm,57.76962,-4.37316,67.93565,0.0,67.93565,29.9,E_CNCLW-1,false,-0.0
Dun Law,55.80646,-2.84603,39.4451,-2.40285,41.84795,17.2,T_DNLWW-1,false,0.05741858322809122
London Array Phase 2,51.47158,1.04077,1550.10138,-11.69356,1561.79492,240.0,"T_LARYW-1,T_LARYW-3,T_LARYW-2,T_LARYW-4",true,0.007487257033721175
Gordonstown Hill Wind Farm,57.46192,-2.48276,21.42244,-0.41854,21.84098,12.5,E_GDSTW-1,false,0.019163059533042932
Goole Fields,53.66593,-0.88928,55.16263,0.0,55.16263,32.8,E_GFLDW-1,true,-0.0
Gunfleet Sands Offshore Wind Scheme,51.73082,1.21801,371.90439000000003,-0.27978000000000003,372.18408,108.0,"T_GNFSW-1,T_GNFSW-2",true,0.0007517247916676072
Blackcraig,55.11991,-4.03212,131.34866,-0.22962,131.57828,52.9,T_BLKWW-1,false,0.0017451208512529574
Glens of Foudland,57.42535,-2.63607,50.53005,-0.74487,51.27492,26.0,E_GLOFW-1,false,0.014526985122551142
Clashindarroch 2,57.38397,-2.93309,59.63718,-14.86548,74.50265,77.0,E_CLDRW-1,false,0.19952954693557878
Tullo Wind Farm South (Ext.),56.82742,-2.40489,62.65221,-9.6106,72.26267,10.0,"E_TULWW-1,E_TULWW-2",false,0.13299536261253564
Hare Hill,54.76158,-1.41511,48.9885,-7.14805,56.13655,1.3,E_HRHLW-1,true,0.12733326148471896
Paul's Hill and Extension,57.44615,-3.47621,108.5525,-28.21597,136.76822,65.0,2__PENEC002,false,0.20630501734979073
Assel Valley Wind Farm,55.22648,-4.77871,49.83773,-0.83474,50.67245,25.0,E_ASLVW-1,false,0.016473251244019188
